V7C1A8,Richmond,4815435,4815
V7C1A8,Vancouver,16092,16
V7C1A8,Surrey BC,33321,33
V7C1A8,Coquitlam,39768,40
V7C1A8,Burnaby,22900,23
V7C1A8,Abbotsford,82616,83
V7C1A8,North Vancouver,31002,31
V7C1A8,Langley,4642546,4643
V7C1A8,Delta,3132346,3132
V7C1A8,Chilliwack,113200,113
V0X1L0,Richmond,4711177,4711
V0X1L0,Vancouver,170223,170
V0X1L0,Surrey BC,145015,145
V0X1L0,Coquitlam,152137,152
V0X1L0,Burnaby,157815,158
V0X1L0,Abbotsford,101983,102
V0X1L0,North Vancouver,171047,171
V0X1L0,Langley,4538287,4538
V0X1L0,Delta,3191557,3192
V0X1L0,Chilliwack,70278,70
V1Y4X8,Richmond,4526658,4527
V1Y4X8,Vancouver,391195,391
V1Y4X8,Surrey BC,365987,366
V1Y4X8,Coquitlam,373109,373
V1Y4X8,Burnaby,378787,379
V1Y4X8,Abbotsford,322955,323
V1Y4X8,North Vancouver,392019,392
V1Y4X8,Langley,4353769,4354
V1Y4X8,Delta,2946838,2947
V1Y4X8,Chilliwack,291251,291
V3M1J2,Richmond,4807194,4807
V3M1J2,Vancouver,21002,21
V3M1J2,Surrey BC,6580,7
V3M1J2,Coquitlam,15049,15
V3M1J2,Burnaby,7323,7
V3M1J2,Abbotsford,54901,55
V3M1J2,North Vancouver,21826,22
V3M1J2,Langley,4634305,4634
V3M1J2,Delta,3124106,3124
V3M1J2,Chilliwack,85485,85
V4B4M2,Richmond,4776532,4777
V4B4M2,Vancouver,51299,51
V4B4M2,Surrey BC,26188,26
V4B4M2,Coquitlam,39379,39
V4B4M2,Burnaby,38611,39
V4B4M2,Abbotsford,42830,43
V4B4M2,North Vancouver,53114,53
V4B4M2,Langley,4603643,4604
V4B4M2,Delta,3093444,3093
V4B4M2,Chilliwack,73688,74
V2R1A5,Richmond,4803882,4804
V2R1A5,Vancouver,99460,99
V2R1A5,Surrey BC,74252,74
V2R1A5,Coquitlam,81374,81
V2R1A5,Burnaby,87052,87
V2R1A5,Abbotsford,31220,31
V2R1A5,North Vancouver,100284,100
V2R1A5,Langley,4630993,4631
V2R1A5,Delta,3120794,3121
V2R1A5,Chilliwack,8277,8
V3A1C3,Richmond,4784999,4785
V3A1C3,Vancouver,51801,52
V3A1C3,Surrey BC,23993,24
V3A1C3,Coquitlam,33715,34
V3A1C3,Burnaby,39393,39
V3A1C3,Abbotsford,36529,37
V3A1C3,North Vancouver,52625,53
V3A1C3,Langley,4612109,4612
V3A1C3,Delta,3101910,3102
V3A1C3,Chilliwack,67113,67
V3C2Z8,Richmond,4806841,4807
V3C2Z8,Vancouver,31043,31
V3C2Z8,Surrey BC,14597,15
V3C2Z8,Coquitlam,5762,6
V3C2Z8,Burnaby,18635,19
V3C2Z8,Abbotsford,52196,52
V3C2Z8,North Vancouver,31867,32
V3C2Z8,Langley,4633952,4634
V3C2Z8,Delta,3123752,3124
V3C2Z8,Chilliwack,82780,83
L5R3L1,Richmond,917318,917
L5R3L1,Vancouver,4334444,4334
L5R3L1,Surrey BC,4309333,4309
L5R3L1,Coquitlam,4322586,4323
L5R3L1,Burnaby,4321756,4322
L5R3L1,Abbotsford,4291731,4292
L5R3L1,North Vancouver,4336259,4336
L5R3L1,Langley,744429,744
L5R3L1,Delta,1888413,1888
L5R3L1,Chilliwack,4317441,4317
V7L1C4,Richmond,4826497,4826
V7L1C4,Vancouver,10859,11
V7L1C4,Surrey BC,34245,34
V7L1C4,Coquitlam,31999,32
V7L1C4,Burnaby,13764,14
V7L1C4,Abbotsford,71852,72
V7L1C4,North Vancouver,1322,1
V7L1C4,Langley,4653608,4654
V7L1C4,Delta,3143409,3143
V7L1C4,Chilliwack,102436,102
